# EcoSim run log
# timestamp=2026-06-25 18:03:53
# sampleIntervalSeconds=1
#
# --- SimulationSettings ---
# preyEnergyPerPlant=0.35
# preyReproThreshold=0.55
# preyReproCost=0.25
# preyReproCooldown=30
# preyCarryingCapacity=150
# preyCapPredatorSensitivity=0
# attackRange=2
# killChance=0.25
# handlingTime=36
# predatorEnergyPerPrey=0.55
# predatorReproThreshold=0.6
# predatorReproCost=0.4
# predatorReproCooldown=54
# predatorMetabolicDrain=0.0027
# preyMetabolicDrain=0.0005
# hungerRate=0.0005
# predatorFoodRatio=3
# predatorInterference=0.5
# energyMax=1
# preyScale=1
# predatorScale=1.2
# mutationRate=0.05
# mutationStrength=0.1
# speedMin=1.5
# speedMax=7
# visionMin=6
# visionMax=24
# socialMin=-2
# socialMax=2.5
# plantGrowthRate=0.01
# plantCarryingCapacityFraction=0.35
# fruitRegrowTime=48
# plantMinHeight=0.25
# logSampleInterval=1
#
# --- Coefficienti Lotka-Volterra (derivati, informativi) ---
# alpha=0.033333
# beta=0.005
# gamma=0.0027
# delta=1.375
#
# --- Popolazione iniziale ---
# prey0=80
# predators0=10
# plants0=0
#
t_seconds,prey,predators,plants
0.0,80,10,0
1.0,80,10,0
2.0,80,10,11
3.0,80,10,11
4.0,80,10,17
5.0,80,10,17
6.0,80,10,17
7.0,80,10,31
8.0,80,10,31
9.0,80,10,40
10.0,80,10,40
11.0,80,10,46
12.0,80,10,46
13.0,80,10,51
14.0,80,10,51
15.0,80,10,59
16.0,84,10,59
17.0,91,10,63
18.0,99,10,63
19.0,108,10,67
20.0,112,10,67
21.0,117,10,76
22.0,123,10,76
23.0,127,10,80
24.0,131,10,80
25.0,137,10,85
26.0,140,10,85
27.0,143,10,90
28.0,145,10,90
29.0,149,10,93
30.0,150,12,93
31.0,150,12,97
32.0,150,12,97
33.0,150,12,107
34.0,150,12,107
35.0,150,13,107
36.0,148,13,107
37.0,149,13,112
38.0,150,13,112
39.0,150,13,114
40.0,150,13,114
41.0,150,13,116
42.0,150,15,116
43.0,150,16,113
44.0,150,16,113
45.0,150,16,111
46.0,150,16,111
47.0,150,19,115
48.0,150,19,115
49.0,150,19,119
50.0,150,19,119
51.0,150,19,116
52.0,150,19,116
53.0,149,19,120
54.0,150,20,120
55.0,150,20,119
56.0,150,20,119
57.0,150,20,123
58.0,149,20,123
59.0,150,20,121
60.0,150,20,121
61.0,150,20,122
62.0,150,20,122
63.0,150,20,121
64.0,150,20,121
65.0,150,20,121
66.0,150,20,121
67.0,150,20,119
68.0,150,20,119
69.0,150,20,119
70.0,150,20,119
71.0,150,20,119
72.0,150,20,117
73.0,150,20,117
74.0,150,20,116
75.0,150,20,116
76.0,150,20,116
77.0,150,20,116
78.0,150,20,115
79.0,150,20,115
80.0,150,20,117
81.0,150,20,117
82.0,150,20,118
83.0,150,20,118
84.0,150,22,116
85.0,150,22,116
86.0,150,22,115
87.0,150,22,115
88.0,150,22,119
89.0,150,23,119
90.0,150,23,119
91.0,150,23,119
92.0,150,23,122
93.0,150,23,122
94.0,150,23,119
95.0,150,23,119
96.0,150,25,119
97.0,150,26,119
98.0,150,26,113
99.0,150,26,113
100.0,150,26,114
101.0,150,28,114
102.0,151,29,110
103.0,150,30,110
104.0,149,30,107
105.0,149,30,107
106.0,148,31,113
107.0,149,31,113
108.0,149,33,112
109.0,148,33,112
110.0,149,33,116
111.0,149,34,116
112.0,148,35,111
113.0,150,35,111
114.0,150,35,108
115.0,148,36,108
116.0,150,36,108
117.0,149,36,100
118.0,148,36,100
119.0,148,36,101
120.0,148,37,101
121.0,149,37,111
122.0,150,37,111
123.0,150,37,116
124.0,150,37,116
125.0,150,37,113
126.0,150,37,113
127.0,150,37,113
128.0,150,37,113
129.0,150,37,118
130.0,149,38,118
131.0,150,38,120
132.0,150,38,120
133.0,150,38,119
134.0,150,38,119
135.0,150,38,126
136.0,150,38,126
137.0,149,38,125
138.0,149,41,125
139.0,150,41,120
140.0,150,41,120
141.0,150,41,125
142.0,150,42,125
143.0,150,43,121
144.0,150,43,121
145.0,150,43,117
146.0,149,43,117
147.0,150,43,113
148.0,150,43,113
149.0,150,44,117
150.0,150,46,117
151.0,150,48,124
152.0,150,48,124
153.0,150,48,122
154.0,150,48,122
155.0,150,51,116
156.0,150,53,116
157.0,150,54,117
158.0,149,54,117
159.0,149,54,117
160.0,148,54,120
161.0,148,56,120
162.0,146,59,121
163.0,150,59,121
164.0,150,59,123
165.0,148,60,123
166.0,149,62,123
167.0,150,62,123
168.0,150,62,123
169.0,149,63,123
170.0,150,63,122
171.0,148,63,122
172.0,149,63,121
173.0,149,63,121
174.0,150,64,123
175.0,149,64,123
176.0,148,65,118
177.0,150,65,118
178.0,150,65,112
179.0,150,65,112
180.0,150,65,112
181.0,150,65,112
182.0,150,65,118
183.0,150,65,118
184.0,150,66,117
185.0,150,66,117
186.0,150,66,114
187.0,150,66,114
188.0,150,66,120
189.0,150,66,120
190.0,149,66,120
191.0,150,66,120
192.0,149,69,120
193.0,150,70,120
194.0,150,70,119
195.0,148,71,119
196.0,148,72,116
197.0,149,73,116
198.0,149,73,114
199.0,150,73,114
200.0,149,73,124
201.0,150,73,124
202.0,150,73,121
203.0,149,73,121
204.0,150,76,121
205.0,150,77,127
206.0,150,77,127
207.0,148,78,129
208.0,150,78,129
209.0,150,83,127
210.0,149,85,127
211.0,150,86,118
212.0,150,86,118
213.0,150,86,120
214.0,148,86,120
215.0,147,88,120
216.0,147,89,120
217.0,148,81,125
218.0,149,82,125
219.0,147,83,130
220.0,149,85,130
221.0,147,86,129
222.0,149,86,129
223.0,147,88,128
224.0,147,88,128
225.0,146,88,130
226.0,146,88,130
227.0,147,88,133
228.0,146,89,133
229.0,147,89,137
230.0,145,91,137
231.0,145,91,135
232.0,143,92,135
233.0,144,92,137
234.0,144,92,137
235.0,143,93,137
236.0,142,93,137
237.0,141,93,133
238.0,141,94,133
239.0,140,94,127
240.0,143,94,127
241.0,144,94,128
242.0,144,94,128
243.0,144,94,132
244.0,143,94,132
245.0,144,94,125
246.0,146,97,125
247.0,146,98,123
248.0,145,98,123
249.0,147,98,123
250.0,147,100,132
251.0,148,100,132
252.0,147,102,129
253.0,146,103,129
254.0,146,103,131
255.0,148,103,131
256.0,148,103,133
257.0,147,103,133
258.0,146,105,132
259.0,145,108,132
260.0,146,108,133
261.0,144,110,133
262.0,146,111,135
263.0,146,117,135
264.0,146,118,129
265.0,146,120,129
266.0,145,121,134
267.0,144,122,134
268.0,143,122,132
269.0,142,126,132
270.0,141,131,128
271.0,141,132,128
272.0,137,132,129
273.0,138,135,129
274.0,137,139,128
275.0,136,141,128
276.0,137,141,123
277.0,136,143,123
278.0,135,144,124
279.0,135,144,124
280.0,136,144,121
281.0,136,144,121
282.0,135,144,112
283.0,134,146,112
284.0,131,149,111
285.0,131,149,111
286.0,130,151,113
287.0,127,152,113
288.0,126,152,112
289.0,126,153,112
290.0,127,153,109
291.0,126,153,109
292.0,121,156,109
293.0,122,156,112
294.0,121,156,112
295.0,120,156,112
296.0,119,156,112
297.0,116,157,111
298.0,114,158,111
299.0,116,157,116
300.0,115,159,116
301.0,115,159,115
302.0,114,159,115
303.0,116,159,120
304.0,117,159,120
305.0,117,158,122
306.0,115,161,122
307.0,112,164,112
308.0,113,163,112
309.0,115,163,115
310.0,112,162,115
311.0,108,162,110
312.0,107,162,110
313.0,106,167,110
314.0,106,167,110
315.0,104,170,108
316.0,103,171,108
317.0,104,175,109
318.0,104,179,109
319.0,104,181,107
320.0,104,181,107
321.0,101,181,112
322.0,98,183,112
323.0,96,188,113
324.0,96,191,113
325.0,94,194,119
326.0,95,194,119
327.0,94,197,116
328.0,90,201,116
329.0,87,204,113
330.0,85,205,113
331.0,83,207,114
332.0,84,209,114
333.0,83,210,115
334.0,84,209,115
335.0,79,210,122
336.0,78,211,122
337.0,77,213,121
338.0,77,214,121
339.0,74,217,116
340.0,76,218,116
341.0,73,218,116
342.0,73,218,114
343.0,69,218,114
344.0,64,218,113
345.0,65,218,113
346.0,65,218,115
347.0,66,218,115
348.0,63,217,114
349.0,64,217,114
350.0,64,217,115
351.0,63,217,115
352.0,62,217,111
353.0,62,217,111
354.0,63,215,111
355.0,59,215,111
356.0,58,215,109
357.0,56,215,109
358.0,56,215,109
359.0,53,214,109
360.0,51,214,114
361.0,50,214,114
362.0,50,213,117
363.0,50,213,117
364.0,48,212,115
365.0,46,211,115
366.0,46,210,116
367.0,45,209,116
368.0,46,208,110
369.0,46,208,110
370.0,47,207,103
371.0,46,207,103
372.0,45,207,103
373.0,44,207,103
374.0,44,206,106
375.0,45,204,106
376.0,44,204,110
377.0,44,204,110
378.0,44,204,111
379.0,45,203,111
380.0,45,203,114
381.0,46,203,114
382.0,44,203,117
383.0,41,203,117
384.0,41,203,117
385.0,40,203,117
386.0,37,203,117
387.0,34,203,117
388.0,33,203,117
389.0,33,203,119
390.0,33,203,119
391.0,33,203,121
392.0,32,202,121
393.0,32,202,123
394.0,32,202,123
395.0,30,202,125
396.0,28,202,125
397.0,27,202,128
398.0,29,202,128
399.0,26,201,132
400.0,26,199,132
401.0,26,199,127
402.0,26,199,127
403.0,26,197,127
404.0,27,195,127
405.0,27,195,127
406.0,25,195,127
407.0,25,194,125
408.0,24,193,125
409.0,24,192,120
410.0,23,192,120
411.0,23,190,122
412.0,23,187,122
413.0,23,187,121
414.0,23,187,121
415.0,22,187,123
416.0,22,187,123
417.0,23,186,121
418.0,22,186,121
419.0,22,185,122
420.0,21,184,122
421.0,21,184,125
422.0,20,181,125
423.0,20,178,123
424.0,20,176,123
425.0,19,176,122
426.0,18,176,122
427.0,17,176,116
428.0,16,176,116
429.0,16,175,120
430.0,17,175,120
431.0,17,174,120
432.0,18,172,124
433.0,16,172,124
434.0,17,171,127
435.0,16,171,127
436.0,16,170,123
437.0,15,170,123
438.0,12,170,117
439.0,12,170,117
440.0,11,170,117
441.0,11,169,117
442.0,10,168,119
443.0,10,167,119
444.0,9,167,121
445.0,8,166,121
446.0,7,165,122
447.0,7,163,122
448.0,7,161,123
449.0,7,160,123
450.0,6,160,131
451.0,5,160,131
452.0,4,159,135
453.0,4,158,135
454.0,4,158,138
455.0,3,158,138
456.0,2,158,134
457.0,2,155,134
458.0,2,155,128
459.0,1,155,128
460.0,1,155,124
461.0,1,154,124
462.0,1,153,135
463.0,1,153,135
464.0,1,150,133
465.0,1,149,133
466.0,1,149,132
467.0,1,149,132
468.0,1,148,137
469.0,1,148,137
470.0,1,148,137
471.0,1,147,137
472.0,1,146,139
473.0,1,145,139
474.0,0,144,136
475.0,0,140,136
476.0,0,140,132
477.0,0,138,132
478.0,0,137,133
479.0,0,136,133
480.0,0,135,137
481.0,0,135,137
482.0,0,134,131
483.0,0,134,131
484.0,0,133,132
485.0,0,132,132
486.0,0,132,135
487.0,0,132,135
488.0,0,129,139
489.0,0,129,139
490.0,0,129,138
491.0,0,129,138
492.0,0,129,138
493.0,0,127,127
494.0,0,127,127
495.0,0,127,128
496.0,0,127,128
497.0,0,127,132
498.0,0,127,132
499.0,0,127,133
500.0,0,127,133
501.0,0,127,137
502.0,0,127,137
503.0,0,127,137
504.0,0,126,137
505.0,0,126,139
506.0,0,126,139
507.0,0,126,139
508.0,0,126,139
509.0,0,126,142
510.0,0,126,142
511.0,0,126,137
512.0,0,126,137
513.0,0,126,132
514.0,0,126,132
515.0,0,126,137
516.0,0,126,137
517.0,0,126,131
518.0,0,126,131
519.0,0,126,131
520.0,0,126,131
521.0,0,126,135
522.0,0,126,135
523.0,0,126,139
524.0,0,126,139
525.0,0,126,137
526.0,0,126,137
527.0,0,126,142
528.0,0,126,142
529.0,0,126,138
530.0,0,126,138
531.0,0,126,136
532.0,0,126,136
533.0,0,125,138
534.0,0,125,138
535.0,0,125,140
536.0,0,125,140
537.0,0,125,141
538.0,0,125,141
539.0,0,125,142
540.0,0,125,142
541.0,0,125,137
542.0,0,125,137
543.0,0,124,129
544.0,0,124,129
545.0,0,124,128
546.0,0,124,128
547.0,0,124,127
548.0,0,124,127
549.0,0,124,124
550.0,0,123,124
551.0,0,123,126
552.0,0,123,126
553.0,0,123,130
554.0,0,123,130
555.0,0,123,133
556.0,0,123,133
557.0,0,123,133
558.0,0,123,133
559.0,0,123,128
